Contact Name,ID,ID Type,TS Override
Local TG 9,9,Group,1
South East,23510,Group,2
Kent Chat,23519,Group,2
UK Chat Main,2350,Group,2
UK Chat 1,2351,Group,2
UK Chat 2,2352,Group,2
UK Chat 3,2353,Group,2
Ireland Chat,2354,Group,2
Scotland Chat,2355,Group,2
Wales Chat,2356,Group,2
HUBNet,23526,Group,2
World-Wide,91,Group,2
World-Wide TAC 1,901,Group,2
World-Wide TAC 2,902,Group,2
World-Wide TAC 3,903,Group,2
PARROT,9990,Private,1
DISCONNECT,4000,Group,2
