TG List Name,Contact1,Contact2,Contact3,Contact4,Contact5,Contact6,Contact7,Contact8,Contact9,Contact10,Contact11,Contact12,Contact13,Contact14,Contact15,Contact16,Contact17,Contact18,Contact19,Contact20,Contact21,Contact22,Contact23,Contact24,Contact25,Contact26,Contact27,Contact28,Contact29,Contact30,Contact31,Contact32
DMR GB7ZE,Local TG 9,South East,Kent Chat,UK Chat Main,UK Chat 1,UK Chat 2,UK Chat 3,Ireland Chat,Scotland Chat,Wales Chat,HUBNet,World-Wide,World-Wide TAC 1,World-Wide TAC 2,World-Wide TAC 3,PARROT,DISCONNECT,,,,,,,,,,,,,,,
WPSD SpotHot,Local TG 9,South East,Kent Chat,UK Chat Main,UK Chat 1,UK Chat 2,UK Chat 3,Ireland Chat,Scotland Chat,Wales Chat,HUBNet,World-Wide,World-Wide TAC 1,World-Wide TAC 2,World-Wide TAC 3,PARROT,DISCONNECT,,,,,,,,,,,,,,,
